                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.34302,                0.55176,                0.90575,                0.28552,                0.03926,                0.04819,                0.00926,                0.18995,                 1.4007,                0.56869,              0.0056688,              0.0056688,              0.0056688
                     37,                0.33316,                0.53585,                0.90086,                0.47636,                 0.5495,                0.45955,                0.09396,                0.15517,                0.56522,                0.56263,               0.005545,               0.005545,               0.005545
                     38,                0.34286,                0.53962,                 0.9057,                0.41961,                0.45675,                0.43845,                0.08878,                0.19864,                0.89873,                0.57299,              0.0054212,              0.0054212,              0.0054212
                     39,                0.34028,                0.52796,                0.90737,                  0.092,                0.01689,                0.03407,                0.00545,                0.27707,                 2.4892,                0.58993,              0.0052975,              0.0052975,              0.0052975
                     40,                0.33283,                0.51625,                0.90449,                0.47045,                0.59086,                0.49621,                0.10135,                0.16855,                0.51689,                0.56448,              0.0051737,              0.0051737,              0.0051737
                     41,                 0.3346,                0.50301,                0.90217,                0.51425,                0.57741,                0.52396,                0.10334,                0.17099,                0.41462,                0.56672,                0.00505,                0.00505,                0.00505
                     42,                0.33103,                0.51026,                 0.9003,                 0.5019,                0.57499,                0.55035,                0.10962,                0.16234,                0.42032,                0.56315,              0.0049263,              0.0049263,              0.0049263
                     43,                0.32825,                0.49101,                0.90142,                0.64106,                0.64298,                0.59575,                0.19161,                0.14106,                0.41223,                0.55856,              0.0048025,              0.0048025,              0.0048025
                     44,                0.33033,                0.47701,                 0.9034,                0.63122,                0.62021,                0.56301,                0.15105,                  0.153,                0.34597,                0.56017,              0.0046788,              0.0046788,              0.0046788
                     45,                0.33118,                0.48285,                0.90291,                 0.5389,                0.59122,                0.51463,                0.10053,                0.14391,                0.36053,                0.55786,               0.004555,               0.004555,               0.004555
                     46,                0.32344,                0.46825,                0.89919,                0.61821,                0.61797,                0.53253,                0.11144,                0.14803,                0.33759,                0.55943,              0.0044313,              0.0044313,              0.0044313
